**** BEGIN LOGGING AT Sun Feb 25 00:00:00 2018

Feb 25 00:05:02 <afireinside>	OWLDVa OWLHanzo OWLDoomfist OWLAna OWLBastion OWLGenji OWLPharah OWLMoira OWLSoldier76 OWLOrisa OWLJunkrat OWLMei OWLLucio OWLMcCree OWLReinhardt OWLMercy OWLTracer OWLSombra OWLTorbjorn OWLZarya OWLZenyatta OWLReaper OWLRoadhog OWLWidowmaker OWLSymmetra OWLWinston
Feb 25 00:05:15 <skawkdtc>	LUL
Feb 25 00:05:17 <flyerfanatic>	hi chat
Feb 25 00:05:25 <tapaturtle>	stfu
Feb 25 00:05:36 <connerhasdysentery>	OWLTracer
Feb 25 00:05:36 <afireinside>	OWLDVa
Feb 25 00:05:36 <derp_blade>	...who in their right mind would dive on defense? When the opposing team is not only very good, but had time to spare?
Feb 25 00:05:40 <connerhasdysentery>	lol
Feb 25 00:05:40 <scorthyn>	Man i remember getting my wrist fucked. actually going to the hospital...in WOTLK WoW expansion. Good old times
Feb 25 00:05:42 <wobblins_>	anyone else not get drops today
Feb 25 00:05:49 <redstonemotorboat>	NYXL would have beat London if ARK didn't have an injured wrist.
Feb 25 00:05:51 <agentcayde>	@afireinside Ayeee nice emotes OWLMcCree
Feb 25 00:05:52 <warpedthescience_guy>	OWLLDN OWLDAL OWLNYE OWLVAL OWLHOU OWLSHD OWLSEO OWLPHI OWLGLA OWLFLA
Feb 25 00:06:04 <libbycallaghan>	@afireinside do u have all the emotes on here
Feb 25 00:06:08 <afireinside>	@AgentCayde OWLMei
Feb 25 00:06:18 <unfununfununfun>	bx
Feb 25 00:06:27 <latewinterow>	i leave my browser open but i didnt get drops until i relogged in
Feb 25 00:06:28 <zenatsu>	@Wobblins_ I didnt get drops
Feb 25 00:06:29 <shieldbaker>	OWLDVa
Feb 25 00:06:29 <afireinside>	@libbycallaghan yes OWLDVa OWLHanzo OWLDoomfist OWLAna OWLBastion OWLGenji OWLPharah OWLMoira OWLSoldier76 OWLOrisa OWLJunkrat OWLMei OWLLucio OWLMcCree OWLReinhardt OWLMercy OWLTracer OWLSombra OWLTorbjorn OWLZarya OWLZenyatta OWLReaper OWLRoadhog OWLWidowmaker OWLSymmetra OWLWinston OWLLDN OWLBOS OWLDAL OWLNYE OWLVAL OWLSFS OWLHOU OWLSHD OWLSEO OWLPHI OWLGLA OWLFLA
Feb 25 00:06:29 <moobot>	No long messages allowed (afireinside)
Feb 25 00:06:31 <scorthyn>	true that
Feb 25 00:06:34 <wobblins_>	OWLAna OWLZenyatta OWLRoadhog OWLSymmetra
Feb 25 00:06:37 <latewinterow>	for todays matches
Feb 25 00:06:43 <derp_blade>	Like, seriously. Boston did so well once they beat London in the upset in Stage 1,
Feb 25 00:06:48 <chisangogameinc>	OWLDAL OWLLDN OWLNYE OWLSEO OWLSEO
Feb 25 00:06:48 <derp_blade>	What happened.
Feb 25 00:06:51 *	jtv removes channel operator status from blizzarddalaran
Feb 25 00:07:08 <smartyglasses>	+.333333
Feb 25 00:07:08 <warpedthescience_guy>	owlbos100 owlbos100
Feb 25 00:07:20 <warpedthescience_guy>	owlsfs100 owlsfs100
Feb 25 00:07:21 <zenatsu>	relogging didnt seem to do anything
Feb 25 00:07:28 <derp_blade>	^^^
Feb 25 00:07:37 <latewinterow>	i dont know worked for me
Feb 25 00:07:44 <redstonemotorboat>	we are halfway to getting the tracer skin!
Feb 25 00:07:47 <latewinterow>	maybe i did something else too though
Feb 25 00:07:48 <monascape>	owldal100
Feb 25 00:07:52 <warpedthescience_guy>	owlseo100
Feb 25 00:08:06 <dineyrevenge>	OWLSoldier76 OWLSoldier76 OWLSoldier76 OWLSoldier76
Feb 25 00:08:18 <monascape>	OWLZarya OWLZarya OWLZarya
Feb 25 00:09:09 *	jtv gives channel operator status to matty
Feb 25 00:09:15 <redstonemotorboat>	OWLSombra OWLSombra OWLSombra
Feb 25 00:09:27 <agentcayde>	OWLSombra OWLSombra OWLSombra
Feb 25 00:09:30 <libbycallaghan>	would someone cheer 10,000????
Feb 25 00:09:47 <redstonemotorboat>	I wish
Feb 25 00:09:56 <derp_blade>	Now that I think of it, a couple of the loses Boston had today were due to a dumb decision CoolStoryBob
Feb 25 00:10:15 <kyratostnt>	Kappa Cheer-10,000 Kappa
Feb 25 00:10:30 <redstonemotorboat>	CoolStoryBob
Feb 25 00:10:35 <alphafox124>	hi
Feb 25 00:11:07 <redstonemotorboat>	cheer 20,323,666
Feb 25 00:11:09 <pinkachuus>	OWLWidowmaker OWLWidowmaker OWLWidowmaker OWLWidowmaker OWLWidowmaker OWLWidowmaker
Feb 25 00:11:10 <moobot>	No spamming allowed (pinkachuus) (warning)
Feb 25 00:11:10 <alphafox124>	OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna OWLAna
Feb 25 00:11:14 <thiefspanner>	I really really want Shanghai to win a game
Feb 25 00:11:33 <redstonemotorboat>	just 1
Feb 25 00:11:38 <mahousai>	OWLDVa REE OWLDVa
Feb 25 00:11:41 <redstonemotorboat>	that would be good for them
Feb 25 00:11:41 <moobot>	Get League Tokens just for watching or Cheer on your favorite teams and get loot. Find out how! http://link.twitch.tv/owl-unlock-loot
Feb 25 00:12:06 <derp_blade>	I kinda hope a good team will secretly throw them a bone
Feb 25 00:12:17 *	jtv gives channel operator status to tangysoup
Feb 25 00:12:17 *	jtv removes channel operator status from led
Feb 25 00:12:41 <derp_blade>	Like EXL or Spitfire, a tiebreaker loss wouldn't harm them at all.
Feb 25 00:13:54 <thetinhorn>	OWLReinhardt
Feb 25 00:14:12 <graendithas1>	OWLSEO
Feb 25 00:14:35 <strokera1424>	Shanghai was doing pretty well today, I think they might be able to beat Shock :P
Feb 25 00:15:00 <remratsxam>	nut
Feb 25 00:15:01 <camthur>	actually, I doubt anybody wants to be the first to lose to Shanghai. About the only team it wouln't make look bad is Florida.
Feb 25 00:15:30 <ansonx10>	Unless it's obvious that they're throwing
Feb 25 00:15:38 <ansonx10>	but they probably aren't allowed to do that
Feb 25 00:16:00 <jyharp>	why would a team throw to let shd win
Feb 25 00:16:11 <ness1131>	hi, when is the rerun?
Feb 25 00:17:00 <arielcamargo>	normally 2 hours after the game ends'
Feb 25 00:17:26 <arielcamargo>	so 9-10
Feb 25 00:17:48 <swiftycheez>	i need that tracer skin :/
Feb 25 00:18:01 <basilthebatlord>	Same!
Feb 25 00:18:07 <yourpalbadger>	What's wrong with Graffitti Tracer
Feb 25 00:18:24 <paul_the_panda>	u r b a d lul
Feb 25 00:19:22 <youngsumo>	OWLHanzo OWLDAL OWLHanzo OWLDAL OWLHanzo OWLDAL
Feb 25 00:21:36 <staffwannabe>	owlfla100
Feb 25 00:21:45 <staffwannabe>	owlfla100
Feb 25 00:21:45 <moobot>	Get League Tokens just for watching or Cheer on your favorite teams and get loot. Find out how! http://link.twitch.tv/owl-unlock-loot
Feb 25 00:21:46 <deeeeznutz>	!add 100
Feb 25 00:21:55 <dizzyjump>	OWLLDN OWLNYE OWLSEO OWLPHI OWLSFS
Feb 25 00:21:58 <staffwannabe>	owlfla100
Feb 25 00:22:11 <rachelpauz>	OWLFLA 100100OWLFLA 100
Feb 25 00:23:27 *	jtv removes channel operator status from nero
Feb 25 00:24:45 <leakymcbutttoots>	oh man best butt out thing i cant say here just now, can I GET A HALLELUJAH!?
Feb 25 00:25:10 <wobblins_>	HALLELUJAH
Feb 25 00:25:17 <notahtv>	owlfla100
Feb 25 00:25:32 *	jtv removes channel operator status from bsdlp
Feb 25 00:25:33 <staffwannabe>	owlfla100
Feb 25 00:25:58 <leakymcbutttoots>	you can't say riends with an f
Feb 25 00:26:05 <leakymcbutttoots>	but thank you ........riends
Feb 25 00:26:09 <notahtv>	OWLReinhardt
Feb 25 00:26:11 <staffwannabe>	owlfla100
Feb 25 00:26:29 *	jtv removes channel operator status from matty
Feb 25 00:26:37 <ocean_ow>	PogChamp
Feb 25 00:28:05 <jarlsvog>	DoritosChip OWLDVa DoritosChip
Feb 25 00:28:21 <wobblins_>	we wont make it to 40mil by the next skin reveal
Feb 25 00:28:35 <afireinside>	OWLDVa OWLHanzo OWLDoomfist OWLAna OWLBastion OWLGenji OWLPharah OWLMoira OWLSoldier76 OWLOrisa OWLJunkrat OWLMei OWLLucio OWLMcCree OWLReinhardt OWLMercy OWLTracer OWLSombra OWLTorbjorn OWLZarya OWLZenyatta OWLReaper OWLRoadhog OWLWidowmaker OWLSymmetra OWLWinston
Feb 25 00:28:38 <afireinside>	OH YEAH
Feb 25 00:28:44 *	jtv gives channel operator status to meka
Feb 25 00:28:58 <afireinside>	I'm sorry if my icons offend anyone
Feb 25 00:29:02 <afireinside>	NAWT
Feb 25 00:29:04 <cesardasalad>	dear lord you dont have to worry about money do you
Feb 25 00:29:05 <anunknowngod>	poggers
Feb 25 00:29:23 <afireinside>	@CesarDaSalad I'm eating Ramen all week OWLDVa
Feb 25 00:29:29 <zenatsu>	anyone else not get drops?
Feb 25 00:29:34 <cesardasalad>	lol
Feb 25 00:29:46 <sheykypwnz>	Ramen iscool
Feb 25 00:29:50 <crowofdetroit>	I've gotten at least 7 drops
Feb 25 00:29:52 <papaphill>	owlnye100
Feb 25 00:29:57 *	jtv removes channel operator status from tangysoup
Feb 25 00:30:29 <sheykypwnz>	Is goin to be a rerun?
Feb 25 00:30:38 <leakymcbutttoots>	@afireinside WHAT THE FRICK!? spend that money on something useful, like an xbox card ....I mean remote
Feb 25 00:30:39 <sneumann3846>	got drops on thurs but not on friday or sat. A lot of others havent either :(
Feb 25 00:30:40 <wobblins_>	i haven't gotten any since yesterday
Feb 25 00:30:41 <aaronc2005>	not getting my tokens. I've received about 1/4 of them and have watched every game since stage 2 began
Feb 25 00:30:59 <shoesthief993>	Are they going to match our progress towards Tracer?
Feb 25 00:31:03 <wobblins_>	xbox is trash
Feb 25 00:31:09 <afireinside>	@LeakyMcButtToots I play PC OWLMercy
Feb 25 00:31:09 <jrspritex>	^
Feb 25 00:31:21 <jrspritex>	console sucks in general
Feb 25 00:31:24 <helozkung>	owlhou100
Feb 25 00:31:25 <dreampiece>	owlsfs100
Feb 25 00:31:27 <dizzyjump>	LUL xbox
Feb 25 00:31:40 <aaronc2005>	complain about tokens. I just made a huge forum about my discussion with a blue
Feb 25 00:31:41 <leakymcbutttoots>	it's a meme
Feb 25 00:31:42 <jrspritex>	pc has all the potential of consoles combined + more
Feb 25 00:31:49 <leakymcbutttoots>	kid orders a bong, mom opens it, that's his excuse
Feb 25 00:31:49 <moobot>	Get League Tokens just for watching or Cheer on your favorite teams and get loot. Find out how! http://link.twitch.tv/owl-unlock-loot
Feb 25 00:31:55 <sneumann3846>	some of us play on both: ps4 and pc
Feb 25 00:31:56 <afireinside>	I've gotten 42 Overwatch LEague Tokens OWLJunkrat
Feb 25 00:32:06 <sheykypwnz>	@AaronC2005 Can u share the post?
Feb 25 00:32:12 <aaronc2005>	42 really?
Feb 25 00:32:13 <dreampiece>	OWLWidowmaker
Feb 25 00:32:16 <afireinside>	42% of a skin OWLMei
Feb 25 00:32:33 <aaronc2005>	***
Feb 25 00:32:34 <afireinside>	OWLMei yes 42
