**** BEGIN LOGGING AT Fri Mar 16 00:00:00 2018

Mar 16 00:00:12 <morningfatty>	fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:12 <aspecttttttt>	WE
Mar 16 00:00:12 <luciiow>	@dpa818 TriHard 7
Mar 16 00:00:12 <saorong>	LUL
Mar 16 00:00:13 <hardbeats>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:13 <hi_five_tuna>	NotATK NINE NotATK IS NotATK BEST NotATK SIZE NotATK
Mar 16 00:00:13 <ambition_>	WutFace
Mar 16 00:00:13 <whoskylep>	Fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:13 <lixanes>	ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper
Mar 16 00:00:13 <theerotictoaster>	KappaPride
Mar 16 00:00:13 <lochsa_>	mendoLaw LET MENDOO FUCK mendoLaw
Mar 16 00:00:13 <lawlcakez83>	WutFace
Mar 16 00:00:13 <rusty_sporks>	KappaPride
Mar 16 00:00:13 <bl1tzt3k>	owlgla150
Mar 16 00:00:14 <limetw>	WutFace
Mar 16 00:00:14 <5h4d0wmurloc>	KappaPride
Mar 16 00:00:14 <blue_wolf__gaming>	OWLZarya OWLZarya OWLZarya OWLZarya OWLZarya
Mar 16 00:00:14 <ckymatty>	TriHard 7
Mar 16 00:00:14 <byakkie>	Unfair commentators today
Mar 16 00:00:14 <eschweazy>	ROOMMATES
Mar 16 00:00:14 <nicooli091>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:15 <tananore>	Hi Boys HeyGuys
Mar 16 00:00:15 <mfsweatypenguin>	4858445553
Mar 16 00:00:15 <bleedinactionman>	WHERE'S MY TOKEN YOU CHARLATANS
Mar 16 00:00:15 <thedormantbear>	LUL LUL
Mar 16 00:00:15 <nickdarkstone>	ArgieB8 ArgieB8 ArgieB8
Mar 16 00:00:15 <dristasogo>	That time !
Mar 16 00:00:16 <luniqso>	OWLSoldier76 OWLReaper
Mar 16 00:00:16 <miauguy>	J LUL KE IS GARBAGE
Mar 16 00:00:16 <rosie_daisy>	outlows
Mar 16 00:00:16 <xpiepy>	Roommates KappaPride
Mar 16 00:00:16 <gryphon982>	owlhou100 I LOVE YOU GUYS, YOU CAN DO IT
Mar 16 00:00:17 <falconcrunch69>	KappaPride
Mar 16 00:00:17 <kitycatmeowmeow>	KonCha DxCat
Mar 16 00:00:17 <semanticist>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:17 <aisukawaiisu>	OWLReaper
Mar 16 00:00:17 <lappraden>	OWLGLA OWLGLA
Mar 16 00:00:17 <frankyboi33>	OWLHOU OWLHOU OWLHOU OWLHOU
Mar 16 00:00:17 <eggleggs>	Fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:18 <rippedmcbighuge>	4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:18 <warunut>	JAKE HAS A KNIFE Wutface
Mar 16 00:00:18 <masterani_m3>	twitchRaid KappaPride
Mar 16 00:00:18 <tknack404>	fissure god
Mar 16 00:00:18 <anxietty>	TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 TriHard 7 j
Mar 16 00:00:18 <manlygirlscout>	KappaPride
Mar 16 00:00:18 <kjkpa>	: 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:18 <zenkihachi>	P LUL C K E T T
Mar 16 00:00:19 <lbomber>	blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace blazeFace
Mar 16 00:00:19 <kahlanos>	LuL
Mar 16 00:00:19 <slackit02>	WHERES MENDO
Mar 16 00:00:19 <huntersdream19>	KappaPride
Mar 16 00:00:19 <wraithmaster_ow>	TriHard TriHard TriHard TriHard TriHard TriHard
Mar 16 00:00:19 <vaz7557>	PurpleStar PurpleStar SHIELDS UP PurpleStar PurpleStar
Mar 16 00:00:20 <markyu1107>	OWLHOU
Mar 16 00:00:20 <theshadowblast123>	LET ORISA FLY!!!!!!!!!!!
Mar 16 00:00:20 <ckymatty2>	J LUL KE
Mar 16 00:00:20 <assologists>	KappaPride KappaPride KappaPride KappaPride KappaPride
Mar 16 00:00:20 <moobot>	No excessive use of symbols allowed (TheShadowblast123) (warning)
Mar 16 00:00:21 <cowfloatingonthesea>	JAKE is GARBAGE EleGiggle
Mar 16 00:00:21 <xox1592009>	mumaWenstun
Mar 16 00:00:21 <coolasj19>	PUCKETT AND DA BOIS
Mar 16 00:00:21 <cpowergamerstop>	HUGE]
Mar 16 00:00:21 <heroiclittlewaffle>	4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞
Mar 16 00:00:21 <psi0n>	WutFace
Mar 16 00:00:23 <festerodoom>	You're Still Talking About Jake, LOL....
Mar 16 00:00:23 <luciiow>	TriHard 7
Mar 16 00:00:23 <marioneta>	Fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:00:23 <jimmywho98>	TriHard 7
Mar 16 00:00:23 <forenzikplays>	OWLGLA OWLGLA OWLGLA
Mar 16 00:00:24 <atomicrage117>	4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:24 <senna_>	4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:24 <amazingpodky>	KappaPride
Mar 16 00:00:24 <estaidswatching>	NO S <3 E NO PEACE
Mar 16 00:00:24 <k_exists>	JAKE HAS A KNIFE
Mar 16 00:00:24 <ckymatty>	J LUL KE
Mar 16 00:00:25 <stephencorny>	TriHard 7 TriHard 7 TriHard 7
Mar 16 00:00:25 <lunality33>	MENDO
Mar 16 00:00:25 <4nademe>	omegalul ZULUL
